create_date,point_id,valid_from,valid_to,carrier,estimated_days,origin_country,origin_name,origin_code,destination_country,destination_name,destination_code,shipping_type,load_type,load_amount,price_usd
2024-02-27,19016428,2024-02-01,2024-04-30,Turkish Airlines,3,BR,Guarulhos Gov Andre Franco Montouro,SBGR,OM,Seeb Intl,OOMS,AIR,kg,1000,2550
2024-02-27,19016428,2024-02-01,2024-04-30,Turkish Airlines,3,BR,Guarulhos Gov Andre Franco Montouro,SBGR,OM,Seeb Intl,OOMS,AIR,kg,1500,3825
2024-02-27,19016428,2024-02-01,2024-04-30,Turkish Airlines,3,BR,Guarulhos Gov Andre Franco Montouro,SBGR,OM,Seeb Intl,OOMS,AIR,kg,2000,5100
2024-02-27,19016428,2024-02-01,2024-04-30,Turkish Airlines,3,BR,Guarulhos Gov Andre Franco Montouro,SBGR,OM,Seeb Intl,OOMS,AIR,kg,2500,6375
2024-02-27,19016428,2024-02-01,2024-04-30,Turkish Airlines,3,BR,Guarulhos Gov Andre Franco Montouro,SBGR,OM,Seeb Intl,OOMS,AIR,kg,3000,7650
2024-02-27,19016428,2024-02-01,2024-04-30,Turkish Airlines,3,BR,Guarulhos Gov Andre Franco Montouro,SBGR,OM,Seeb Intl,OOMS,AIR,kg,3500,8925
2024-02-27,19016428,2024-02-01,2024-04-30,Turkish Airlines,3,BR,Guarulhos Gov Andre Franco Montouro,SBGR,OM,Seeb Intl,OOMS,AIR,kg,4000,10200
2024-02-27,19016428,2024-02-01,2024-04-30,Turkish Airlines,3,BR,Guarulhos Gov Andre Franco Montouro,SBGR,OM,Seeb Intl,OOMS,AIR,kg,4500,11475
2024-02-27,19016428,2024-02-01,2024-04-30,Turkish Airlines,3,BR,Guarulhos Gov Andre Franco Montouro,SBGR,OM,Seeb Intl,OOMS,AIR,kg,5000,12500
2024-02-27,19016428,2024-02-01,2024-04-30,Turkish Airlines,3,BR,Guarulhos Gov Andre Franco Montouro,SBGR,OM,Seeb Intl,OOMS,AIR,kg,7500,18750
2024-02-27,19016428,2024-02-01,2024-04-30,Turkish Airlines,3,BR,Guarulhos Gov Andre Franco Montouro,SBGR,OM,Seeb Intl,OOMS,AIR,kg,10000,25000
2024-02-23,19016426,2024-02-12,2024-02-29,Turkish Airlines,2,CH,Zurich,LSZH,TH,Suvarnabhumi Intl,VTBS,AIR,kg,100,147.22
2024-02-23,19016426,2024-02-12,2024-02-29,Turkish Airlines,2,CH,Zurich,LSZH,TH,Suvarnabhumi Intl,VTBS,AIR,kg,250,368.04
2024-02-23,19016426,2024-02-12,2024-02-29,Turkish Airlines,2,CH,Zurich,LSZH,TH,Suvarnabhumi Intl,VTBS,AIR,kg,300,441.65
2024-02-23,19016426,2024-02-12,2024-02-29,Turkish Airlines,2,CH,Zurich,LSZH,TH,Suvarnabhumi Intl,VTBS,AIR,kg,500,736.09
2024-02-23,19016426,2024-02-12,2024-02-29,Turkish Airlines,2,CH,Zurich,LSZH,TH,Suvarnabhumi Intl,VTBS,AIR,kg,1000,1472.18
2024-02-23,19016424,2023-12-11,2024-03-31,Thai Airways International,1,CH,Zurich,LSZH,TH,Suvarnabhumi Intl,VTBS,AIR,kg,45,68.8
2024-02-23,19016424,2023-12-11,2024-03-31,Thai Airways International,1,CH,Zurich,LSZH,TH,Suvarnabhumi Intl,VTBS,AIR,kg,100,96.26
2024-02-23,19016424,2023-12-11,2024-03-31,Thai Airways International,1,CH,Zurich,LSZH,TH,Suvarnabhumi Intl,VTBS,AIR,kg,250,240.64
2024-02-23,19016424,2023-12-11,2024-03-31,Thai Airways International,1,CH,Zurich,LSZH,TH,Suvarnabhumi Intl,VTBS,AIR,kg,300,288.77
2024-02-23,19016424,2023-12-11,2024-03-31,Thai Airways International,1,CH,Zurich,LSZH,TH,Suvarnabhumi Intl,VTBS,AIR,kg,500,481.29
2024-02-23,19016424,2023-12-11,2024-03-31,Thai Airways International,1,CH,Zurich,LSZH,TH,Suvarnabhumi Intl,VTBS,AIR,kg,1000,962.58
2024-02-23,19016422,2023-11-01,2024-03-31,Ethiopian Airlines,2,CH,Zurich,LSZH,CN,Pudong,ZSPD,AIR,kg,45,112.11
2024-02-23,19016422,2023-11-01,2024-03-31,Ethiopian Airlines,2,CH,Zurich,LSZH,CN,Pudong,ZSPD,AIR,kg,100,124.57
2024-02-23,19016422,2023-11-01,2024-03-31,Ethiopian Airlines,2,CH,Zurich,LSZH,CN,Pudong,ZSPD,AIR,kg,250,311.42
2024-02-23,19016422,2023-11-01,2024-03-31,Ethiopian Airlines,2,CH,Zurich,LSZH,CN,Pudong,ZSPD,AIR,kg,300,373.71
2024-02-23,19016422,2023-11-01,2024-03-31,Ethiopian Airlines,2,CH,Zurich,LSZH,CN,Pudong,ZSPD,AIR,kg,500,622.84
2024-02-23,19016422,2023-11-01,2024-03-31,Ethiopian Airlines,2,CH,Zurich,LSZH,CN,Pudong,ZSPD,AIR,kg,1000,1245.69
2024-02-23,19016420,2023-12-11,2024-03-31,Thai Airways International,2,CH,Zurich,LSZH,CN,Pudong,ZSPD,AIR,kg,45,63.7
2024-02-23,19016420,2023-12-11,2024-03-31,Thai Airways International,2,CH,Zurich,LSZH,CN,Pudong,ZSPD,AIR,kg,100,107.58
2024-02-23,19016420,2023-12-11,2024-03-31,Thai Airways International,2,CH,Zurich,LSZH,CN,Pudong,ZSPD,AIR,kg,250,268.96
2024-02-23,19016420,2023-12-11,2024-03-31,Thai Airways International,2,CH,Zurich,LSZH,CN,Pudong,ZSPD,AIR,kg,300,322.75
2024-02-23,19016420,2023-12-11,2024-03-31,Thai Airways International,2,CH,Zurich,LSZH,CN,Pudong,ZSPD,AIR,kg,500,481.29
2024-02-23,19016420,2023-12-11,2024-03-31,Thai Airways International,2,CH,Zurich,LSZH,CN,Pudong,ZSPD,AIR,kg,1000,849.33
2024-02-23,19016418,2023-10-29,2024-03-31,SWISS,1,CH,Zurich,LSZH,CN,Pudong,ZSPD,AIR,kg,45,84.08
2024-02-23,19016418,2023-10-29,2024-03-31,SWISS,1,CH,Zurich,LSZH,CN,Pudong,ZSPD,AIR,kg,100,107.58
2024-02-23,19016418,2023-10-29,2024-03-31,SWISS,1,CH,Zurich,LSZH,CN,Pudong,ZSPD,AIR,kg,250,268.96
2024-02-23,19016418,2023-10-29,2024-03-31,SWISS,1,CH,Zurich,LSZH,CN,Pudong,ZSPD,AIR,kg,300,288.77
2024-02-23,19016418,2023-10-29,2024-03-31,SWISS,1,CH,Zurich,LSZH,CN,Pudong,ZSPD,AIR,kg,500,424.67
2024-02-23,19016418,2023-10-29,2024-03-31,SWISS,1,CH,Zurich,LSZH,CN,Pudong,ZSPD,AIR,kg,1000,679.47
2024-02-02,19016416,2024-02-01,2024-02-05,Aeromexico,,BR,Rio Grande,SBRG,AO,Luanda 4 De Fevereiro,FNLU,AIR,kg,25,11350
2024-02-01,19016414,2024-01-01,2024-03-31,Delta Air Lines,,US,Miami Intl,KMIA,BR,Galeao Antonio Carlos Jobim,SBGL,AIR,kg,25,200
2024-02-01,19016414,2024-01-01,2024-03-31,Delta Air Lines,,US,Miami Intl,KMIA,BR,Galeao Antonio Carlos Jobim,SBGL,AIR,kg,45,225
2024-02-01,19016414,2024-01-01,2024-03-31,Delta Air Lines,,US,Miami Intl,KMIA,BR,Galeao Antonio Carlos Jobim,SBGL,AIR,kg,100,400
2024-02-01,19016414,2024-01-01,2024-03-31,Delta Air Lines,,US,Miami Intl,KMIA,BR,Galeao Antonio Carlos Jobim,SBGL,AIR,kg,250,500
2024-02-01,19016414,2024-01-01,2024-03-31,Delta Air Lines,,US,Miami Intl,KMIA,BR,Galeao Antonio Carlos Jobim,SBGL,AIR,kg,300,390
2024-02-01,19016414,2024-01-01,2024-03-31,Delta Air Lines,,US,Miami Intl,KMIA,BR,Galeao Antonio Carlos Jobim,SBGL,AIR,kg,500,650
2024-02-01,19016414,2024-01-01,2024-03-31,Delta Air Lines,,US,Miami Intl,KMIA,BR,Galeao Antonio Carlos Jobim,SBGL,AIR,kg,750,975
2024-02-01,19016414,2024-01-01,2024-03-31,Delta Air Lines,,US,Miami Intl,KMIA,BR,Galeao Antonio Carlos Jobim,SBGL,AIR,kg,1000,1300
2024-02-01,19016412,2024-01-01,2024-03-31,Delta Air Lines,,US,Miami Intl,KMIA,BR,Guarulhos Gov Andre Franco Montouro,SBGR,AIR,kg,25,200
2024-02-01,19016412,2024-01-01,2024-03-31,Delta Air Lines,,US,Miami Intl,KMIA,BR,Guarulhos Gov Andre Franco Montouro,SBGR,AIR,kg,45,225
2024-02-01,19016412,2024-01-01,2024-03-31,Delta Air Lines,,US,Miami Intl,KMIA,BR,Guarulhos Gov Andre Franco Montouro,SBGR,AIR,kg,100,400
2024-02-01,19016412,2024-01-01,2024-03-31,Delta Air Lines,,US,Miami Intl,KMIA,BR,Guarulhos Gov Andre Franco Montouro,SBGR,AIR,kg,250,750
2024-02-01,19016412,2024-01-01,2024-03-31,Delta Air Lines,,US,Miami Intl,KMIA,BR,Guarulhos Gov Andre Franco Montouro,SBGR,AIR,kg,300,357
2024-02-01,19016412,2024-01-01,2024-03-31,Delta Air Lines,,US,Miami Intl,KMIA,BR,Guarulhos Gov Andre Franco Montouro,SBGR,AIR,kg,500,595
2024-02-01,19016412,2024-01-01,2024-03-31,Delta Air Lines,,US,Miami Intl,KMIA,BR,Guarulhos Gov Andre Franco Montouro,SBGR,AIR,kg,750,892.5
2024-02-01,19016412,2024-01-01,2024-03-31,Delta Air Lines,,US,Miami Intl,KMIA,BR,Guarulhos Gov Andre Franco Montouro,SBGR,AIR,kg,1000,1190
2024-02-01,19016410,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Goiabeiras,SBVT,AIR,kg,25,91.25
2024-02-01,19016410,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Goiabeiras,SBVT,AIR,kg,45,164.25
2024-02-01,19016410,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Goiabeiras,SBVT,AIR,kg,100,355
2024-02-01,19016410,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Goiabeiras,SBVT,AIR,kg,250,887.5
2024-02-01,19016410,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Goiabeiras,SBVT,AIR,kg,300,1005
2024-02-01,19016410,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Goiabeiras,SBVT,AIR,kg,500,1600
2024-02-01,19016410,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Goiabeiras,SBVT,AIR,kg,750,2400
2024-02-01,19016410,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Goiabeiras,SBVT,AIR,kg,1000,3050
2024-02-01,19016408,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Deputado Luis Eduardo Magalhaes,SBSV,AIR,kg,25,91.25
2024-02-01,19016408,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Deputado Luis Eduardo Magalhaes,SBSV,AIR,kg,45,164.25
2024-02-01,19016408,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Deputado Luis Eduardo Magalhaes,SBSV,AIR,kg,100,315
2024-02-01,19016408,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Deputado Luis Eduardo Magalhaes,SBSV,AIR,kg,250,787.5
2024-02-01,19016408,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Deputado Luis Eduardo Magalhaes,SBSV,AIR,kg,300,915
2024-02-01,19016408,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Deputado Luis Eduardo Magalhaes,SBSV,AIR,kg,500,1475
2024-02-01,19016408,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Deputado Luis Eduardo Magalhaes,SBSV,AIR,kg,750,2212.5
2024-02-01,19016408,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Deputado Luis Eduardo Magalhaes,SBSV,AIR,kg,1000,2850
2024-02-01,19016406,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Salgado Filho,SBPA,AIR,kg,25,91.25
2024-02-01,19016406,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Salgado Filho,SBPA,AIR,kg,45,164.25
2024-02-01,19016406,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Salgado Filho,SBPA,AIR,kg,100,315
2024-02-01,19016406,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Salgado Filho,SBPA,AIR,kg,250,787.5
2024-02-01,19016406,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Salgado Filho,SBPA,AIR,kg,300,915
2024-02-01,19016406,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Salgado Filho,SBPA,AIR,kg,500,1475
2024-02-01,19016406,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Salgado Filho,SBPA,AIR,kg,750,2212.5
2024-02-01,19016406,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Salgado Filho,SBPA,AIR,kg,1000,2850
2024-02-01,19016404,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Ministro Victor Konder Intl,SBNF,AIR,kg,25,91.25
2024-02-01,19016404,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Ministro Victor Konder Intl,SBNF,AIR,kg,45,164.25
2024-02-01,19016404,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Ministro Victor Konder Intl,SBNF,AIR,kg,100,355
2024-02-01,19016404,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Ministro Victor Konder Intl,SBNF,AIR,kg,250,887.5
2024-02-01,19016404,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Ministro Victor Konder Intl,SBNF,AIR,kg,300,1050
2024-02-01,19016404,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Ministro Victor Konder Intl,SBNF,AIR,kg,500,1600
2024-02-01,19016404,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Ministro Victor Konder Intl,SBNF,AIR,kg,750,2400
2024-02-01,19016404,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Ministro Victor Konder Intl,SBNF,AIR,kg,1000,3000
2024-02-01,19016402,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Eduardo Gomes Intl,SBEG,AIR,kg,25,85
2024-02-01,19016402,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Eduardo Gomes Intl,SBEG,AIR,kg,45,153
2024-02-01,19016402,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Eduardo Gomes Intl,SBEG,AIR,kg,100,330
