create_date,valid_from,valid_to,estimated_days,origin_country,origin_name,destination_country,destination_name,shipping_type,load_type,load_amount,price_usd
2024-02-11,2024-02-01,2024-12-31,6,ZW,"Harare, Zimbabwe",MZ,"Maputo, Mozambique",RAIL_FCL,40' Standard,1,2430
2024-02-11,2024-02-01,2024-12-31,6,ZW,"Harare, Zimbabwe",MZ,"Maputo, Mozambique",RAIL_FCL,20' Standard,1,1850
2024-02-11,2024-01-01,2024-12-31,5,MZ,"Beira, Mozambique",ZW,"Harare, Zimbabwe",RAIL_FCL,40' Standard,1,1850
2024-02-11,2024-01-01,2024-12-31,5,MZ,"Beira, Mozambique",ZW,"Harare, Zimbabwe",RAIL_FCL,20' Standard,1,1180
2024-02-11,2024-01-01,2024-12-31,5,ZW,"Harare, Zimbabwe",MZ,"Beira, Mozambique",RAIL_FCL,20' Standard,1,1180
2024-02-11,2024-01-01,2024-12-31,5,ZW,"Harare, Zimbabwe",MZ,"Beira, Mozambique",RAIL_FCL,40' Standard,1,1850
2024-02-11,2024-01-01,2024-12-31,6,MZ,"Maputo, Mozambique",ZW,"Harare, Zimbabwe",RAIL_FCL,40' Standard,1,2430
2024-02-11,2024-01-01,2024-12-31,6,MZ,"Maputo, Mozambique",ZW,"Harare, Zimbabwe",RAIL_FCL,20' Standard,1,1850
2023-12-08,2024-01-03,2024-02-03,,PL,"Gdynia, Poland",UA,"Dnipro, Dnipropetrovsk Oblast, Ukraine, 49000",RAIL_FCL,40' Standard,1,2950
2023-12-08,2024-01-03,2024-02-03,,PL,"Gdynia, Poland",UA,"Dnipro, Dnipropetrovsk Oblast, Ukraine, 49000",RAIL_FCL,20' Standard,1,2850
2023-12-08,2024-01-03,2024-02-03,,PL,"Gdańsk, Poland",UA,"Dnipro, Dnipropetrovsk Oblast, Ukraine, 49000",RAIL_FCL,40' Standard,1,2950
2023-12-08,2024-01-03,2024-02-03,,PL,"Gdańsk, Poland",UA,"Dnipro, Dnipropetrovsk Oblast, Ukraine, 49000",RAIL_FCL,20' Standard,1,2850
2023-12-08,2024-01-03,2024-02-03,,UA,"Dnipro, Dnipropetrovsk Oblast, Ukraine, 49000",PL,"Gdynia, Poland",RAIL_FCL,40' Standard,1,3450
2023-12-08,2024-01-03,2024-02-03,,UA,"Dnipro, Dnipropetrovsk Oblast, Ukraine, 49000",PL,"Gdynia, Poland",RAIL_FCL,20' Standard,1,3150
2023-12-08,2024-01-03,2024-02-03,,UA,"Dnipro, Dnipropetrovsk Oblast, Ukraine, 49000",PL,"Gdańsk, Poland",RAIL_FCL,40' Standard,1,3450
2023-12-08,2024-01-03,2024-02-03,,UA,"Dnipro, Dnipropetrovsk Oblast, Ukraine, 49000",PL,"Gdańsk, Poland",RAIL_FCL,20' Standard,1,3150
2023-12-08,2024-01-03,2024-02-03,,PL,"Gdynia, Poland",UA,"Kyiv, Ukraine, 02000",RAIL_FCL,40' Standard,1,2600
2023-12-08,2024-01-03,2024-02-03,,PL,"Gdynia, Poland",UA,"Kyiv, Ukraine, 02000",RAIL_FCL,20' Standard,1,2500
2023-12-08,2024-01-03,2024-02-03,,PL,"Gdańsk, Poland",UA,"Kyiv, Ukraine, 02000",RAIL_FCL,40' Standard,1,2600
2023-12-08,2024-01-03,2024-02-03,,PL,"Gdańsk, Poland",UA,"Kyiv, Ukraine, 02000",RAIL_FCL,20' Standard,1,2500
2023-12-08,2024-01-03,2024-02-03,,UA,"Kyiv, Ukraine, 02000",PL,"Gdynia, Poland",RAIL_FCL,40' Standard,1,3050
2023-12-08,2024-01-03,2024-02-03,,UA,"Kyiv, Ukraine, 02000",PL,"Gdynia, Poland",RAIL_FCL,20' Standard,1,2750
2023-12-08,2024-01-03,2024-02-03,,PL,"Gdynia, Poland",UA,"Odesa, Odessa Oblast, Ukraine, 65000",RAIL_FCL,40' Standard,1,3000
2023-12-08,2024-01-03,2024-02-03,,PL,"Gdynia, Poland",UA,"Odesa, Odessa Oblast, Ukraine, 65000",RAIL_FCL,20' Standard,1,2800
2023-12-08,2024-01-03,2024-02-03,,PL,"Gdańsk, Poland",UA,"Odesa, Odessa Oblast, Ukraine, 65000",RAIL_FCL,40' Standard,1,3000
