create_date,valid_from,valid_to,carrier,estimated_days,origin_country,origin_name,origin_code5,destination_country,destination_name,destination_code5,shipping_type,load_type,load_amount,price_usd
2024-03-04,2024-03-03,2024-03-17,Maersk,12,TW,Keelung,TWKEL,JP,Yokohama,JPYOK,FCL,20' Standard,1,275
2024-03-04,2024-03-03,2024-03-17,Maersk,12,TW,Keelung,TWKEL,JP,Yokohama,JPYOK,FCL,40' Standard,1,308
2024-03-04,2024-03-03,2024-03-17,Maersk,12,TW,Keelung,TWKEL,JP,Yokohama,JPYOK,FCL,40' High Cube,1,308
2024-03-04,2024-03-03,2024-04-04,Maersk,70,ES,Barcelona,ESBCN,ID,Balikpapan,IDBPN,FCL,20' Standard,1,1481
2024-03-04,2024-03-03,2024-04-04,Maersk,70,ES,Barcelona,ESBCN,ID,Balikpapan,IDBPN,FCL,40' Standard,1,2732
2024-03-04,2024-03-03,2024-04-04,Maersk,70,ES,Barcelona,ESBCN,ID,Balikpapan,IDBPN,FCL,40' High Cube,1,2732
2024-03-04,2024-03-03,2024-04-02,Maersk,57,CN,Zhongshan,CNZSN,BR,Paranagua,BRPNG,FCL,20' Standard,1,1822
2024-03-04,2024-03-03,2024-04-02,Maersk,57,CN,Zhongshan,CNZSN,BR,Paranagua,BRPNG,FCL,40' Standard,1,2135
2024-03-04,2024-03-03,2024-04-02,Maersk,57,CN,Zhongshan,CNZSN,BR,Paranagua,BRPNG,FCL,40' High Cube,1,2135
2024-03-04,2024-03-03,2024-03-29,Maersk,42,LK,Colombo,LKCMB,MA,Agadir,MAAGA,FCL,20' Standard,1,3419
2024-03-04,2024-03-03,2024-03-29,Maersk,42,LK,Colombo,LKCMB,MA,Agadir,MAAGA,FCL,40' Standard,1,4028
2024-03-04,2024-03-03,2024-03-29,Maersk,42,LK,Colombo,LKCMB,MA,Agadir,MAAGA,FCL,40' High Cube,1,4028
2024-03-04,2024-03-07,2024-03-09,,2,CN,Shanghai,CNSHA,JP,Kobe,JPUKB,FCL,20' Standard,1,615
2024-03-04,2024-03-07,2024-03-09,,2,CN,Shanghai,CNSHA,JP,Kobe,JPUKB,FCL,40' Standard,1,1230
2024-03-04,2024-03-07,2024-03-09,,2,CN,Shanghai,CNSHA,JP,Kobe,JPUKB,FCL,40' High Cube,1,1230
2024-03-04,2024-03-09,2024-03-11,,2,CN,Shanghai,CNSHA,JP,Kobe,JPUKB,FCL,20' Standard,1,615
2024-03-04,2024-03-09,2024-03-11,,2,CN,Shanghai,CNSHA,JP,Kobe,JPUKB,FCL,40' Standard,1,1230
2024-03-04,2024-03-09,2024-03-11,,2,CN,Shanghai,CNSHA,JP,Kobe,JPUKB,FCL,40' High Cube,1,1230
2024-03-04,2024-03-11,2024-03-13,,2,CN,Shanghai,CNSHA,JP,Kobe,JPUKB,FCL,20' Standard,1,615
2024-03-04,2024-03-11,2024-03-13,,2,CN,Shanghai,CNSHA,JP,Kobe,JPUKB,FCL,40' Standard,1,1230
2024-03-04,2024-03-11,2024-03-13,,2,CN,Shanghai,CNSHA,JP,Kobe,JPUKB,FCL,40' High Cube,1,1230
2024-03-04,2024-03-11,2024-03-14,COSCO,3,CN,Shanghai,CNSHA,JP,Kobe,JPUKB,FCL,20' Standard,1,505
2024-03-04,2024-03-11,2024-03-14,COSCO,3,CN,Shanghai,CNSHA,JP,Kobe,JPUKB,FCL,40' Standard,1,1010
2024-03-04,2024-03-11,2024-03-14,COSCO,3,CN,Shanghai,CNSHA,JP,Kobe,JPUKB,FCL,40' High Cube,1,1010
2024-03-04,2024-03-08,2024-03-11,COSCO,3,CN,Shanghai,CNSHA,JP,Kobe,JPUKB,FCL,20' Standard,1,505
2024-03-04,2024-03-08,2024-03-11,COSCO,3,CN,Shanghai,CNSHA,JP,Kobe,JPUKB,FCL,40' Standard,1,1010
2024-03-04,2024-03-08,2024-03-11,COSCO,3,CN,Shanghai,CNSHA,JP,Kobe,JPUKB,FCL,40' High Cube,1,1010
2024-03-04,2024-03-04,2024-03-07,COSCO,3,CN,Shanghai,CNSHA,JP,Kobe,JPUKB,FCL,20' Standard,1,505
2024-03-04,2024-03-04,2024-03-07,COSCO,3,CN,Shanghai,CNSHA,JP,Kobe,JPUKB,FCL,40' Standard,1,1010
2024-03-04,2024-03-04,2024-03-07,COSCO,3,CN,Shanghai,CNSHA,JP,Kobe,JPUKB,FCL,40' High Cube,1,1010
2024-03-04,2024-03-11,2024-03-14,SITC,3,CN,Shanghai,CNSHA,JP,Kobe,JPUKB,FCL,20' Standard,1,370
